scenario	newGroup	MSE_MLE	MSE_Ac	MSE_NoEx	ER_MLE	ER_Ac	ER_NoEx
3	GSI A, category 1	1009	1009	1012	-1	-1	-2
3	GSI A, category 2	1474	1473	1474	0	0	-1
3	GSI B, category 1	1547	1549	1796	1	1	-16
3	GSI B, category 2	2300	2308	2821	2	2	-23
3	GSI C, category 1	6934	6921	12272	-4	-4	-74
3	GSI C, category 2	9500	9515	19552	4	3	-102
3	PBT A, category 1	215	216	211	0	0	0
3	PBT A, category 2	323	324	319	0	0	1
3	PBT B, category 1	877	883	1092	0	-1	20
3	PBT B, category 2	1261	1267	2035	1	1	33
3	PBT C, category 1	465	465	764	1	1	24
3	PBT C, category 2	744	743	1573	0	0	36
4	GSI A, category 1	1620	1618	1618	1	1	0
4	GSI A, category 2	772	773	775	0	0	-2
4	GSI B, category 1	2527	2521	2688	0	0	-13
4	GSI B, category 2	1229	1239	2113	-1	-1	-30
4	GSI C, category 1	10081	10089	12478	2	2	-51
4	GSI C, category 2	5726	5733	20318	1	1	-122
4	PBT A, category 1	148	144	141	1	0	1
4	PBT A, category 2	332	333	327	0	0	1
4	PBT B, category 1	671	674	786	1	1	17
4	PBT B, category 2	1661	1668	2706	1	0	38
4	PBT C, category 1	343	339	454	0	0	18
4	PBT C, category 2	836	836	2090	1	1	42
5	GSI A, category 1	1769	1822	1763	1	1	-5
5	GSI A, category 2	902	997	1010	-1	1	-14
5	GSI B, category 1	3244	3396	6758	1	2	-65
5	GSI B, category 2	3052	3587	25585	-12	-1	-154
5	GSI C, category 1	19320	20168	175855	-3	-3	-404
5	GSI C, category 2	19843	20703	889198	-4	-2	-938
5	PBT A, category 1	486	485	464	1	-2	20
5	PBT A, category 2	1041	1227	2503	5	-1	49
5	PBT B, category 1	2186	2207	7985	3	1	87
5	PBT B, category 2	4346	4380	41432	3	-1	202
5	PBT C, category 1	865	865	1043	0	0	31
5	PBT C, category 2	1759	1746	5350	0	0	72
