sr	scenario	group	MSE_MLE	MSE_Ac	MSE_NoEx	ER_MLE	ER_Ac	ER_NoEx
0.1	Base	GSIgroup3	4608	4609	4608	0	1	-2
0.1	Base	GSIgroup9	27186	27191	57342	-2	-2	-176
0.1	Base	pbtGroup11	2453	2453	4739	5	5	62
0.1	Base	pbtGroup25	8680	8680	11356	5	4	61
0.1	Base	pbtGroup8	1002	1004	985	0	0	1
0.2	Base	GSIgroup3	2454	2452	2451	1	1	-2
0.2	Base	GSIgroup9	13740	13741	42468	5	5	-171
0.2	Base	pbtGroup11	1157	1156	4021	1	1	60
0.2	Base	pbtGroup25	4240	4239	7050	1	1	57
0.2	Base	pbtGroup8	452	453	447	1	1	2
0.3	Base	GSIgroup3	1688	1687	1684	2	2	-1
0.3	Base	GSIgroup9	8781	8785	38289	2	2	-173
0.3	Base	pbtGroup11	879	879	3934	1	1	60
0.3	Base	pbtGroup25	3124	3137	5424	-5	-5	52
0.3	Base	pbtGroup8	342	343	336	-1	-1	0
0.4	Base	GSIgroup3	1194	1193	1208	-2	-2	-5
0.4	Base	GSIgroup9	7429	7438	37990	1	1	-176
0.4	Base	pbtGroup11	597	596	3610	-2	-2	58
0.4	Base	pbtGroup25	2277	2278	5325	1	1	58
0.4	Base	pbtGroup8	254	254	250	0	0	1
0.2	1	GSIgroup3	2859	2851	6423	-2	1	-38
0.2	1	GSIgroup9	13342	13348	16825	2	3	-38
0.2	1	pbtGroup11	1141	1175	4045	6	1	60
0.2	1	pbtGroup25	4308	4354	6863	1	-2	55
0.2	1	pbtGroup8	506	507	498	0	0	1
0.2	2	GSIgroup3	2794	2799	4666	-4	-1	-42
0.2	2	GSIgroup9	12649	12653	13460	9	10	-31
0.2	2	pbtGroup11	1169	1248	3863	5	-2	59
0.2	2	pbtGroup25	4785	4822	7736	6	2	59
0.2	2	pbtGroup8	536	536	528	1	1	2
