sr	scenario	group	MLE	Ac	NoEx	ER_MLE	ER_Ac	ER_NoEx
0.05	Base	GSI A	9326	9342	9326	-2	-2	-4
0.05	Base	GSI B	14638	14726	16424	-6	-5	-47
0.05	Base	GSI C	55831	55829	79758	9	9	-166
0.05	Base	GSIgroup1	5431	5455	5445	3	4	1
0.05	Base	GSIgroup10	55043	55021	63301	-2	1	-98
0.05	Base	GSIgroup2	5954	5954	5960	-4	-4	-4
0.05	Base	GSIgroup4	11164	11183	11186	3	3	1
0.05	Base	GSIgroup5	10578	10598	10645	2	2	-6
0.05	Base	GSIgroup7	14397	14396	14444	-6	-6	-9
0.05	Base	GSIgroup8	24887	24891	28206	2	2	-67
0.05	Base	PBT A	1876	1881	1848	2	2	3
0.05	Base	PBT B	8849	8941	9141	-4	-5	49
0.05	Base	PBT C	4913	4913	5393	2	2	61
0.05	Base	pbtGroup1	1506	1507	1241	0	0	7
0.05	Base	pbtGroup10	2215	2221	2041	-3	-3	1
0.05	Base	pbtGroup12	2656	2657	2555	-1	-1	2
0.05	Base	pbtGroup13	2596	2596	2212	0	0	12
0.05	Base	pbtGroup14	3292	3292	3192	3	3	6
0.05	Base	pbtGroup15	4258	4258	3937	3	3	29
0.05	Base	pbtGroup16	3949	3949	3871	-1	-1	1
0.05	Base	pbtGroup17	5194	5194	4924	-1	-1	6
0.05	Base	pbtGroup18	7198	7219	6726	-1	-2	15
0.05	Base	pbtGroup19	5670	5670	5259	-1	-1	19
0.05	Base	pbtGroup2	2151	2151	1470	-1	-1	18
0.05	Base	pbtGroup20	7540	7537	6945	-2	-2	24
0.05	Base	pbtGroup21	6489	6492	6378	1	0	4
0.05	Base	pbtGroup22	8337	8376	8528	-3	-4	51
0.05	Base	pbtGroup23	7981	8012	7680	1	0	12
0.05	Base	pbtGroup25	19588	19613	20801	4	2	59
0.05	Base	pbtGroup3	1665	1665	1665	-1	-1	-1
0.05	Base	pbtGroup4	2055	2055	1943	0	0	3
0.05	Base	pbtGroup5	2171	2171	2129	0	0	1
0.05	Base	pbtGroup6	1856	1856	1677	4	4	11
0.05	Base	pbtGroup7	2024	2032	1897	1	1	5
0.05	Base	pbtGroup9	2316	2316	2270	0	0	1
0.075	Base	GSI A	6259	6265	6275	2	2	-1
0.075	Base	GSI B	9436	9455	10569	4	4	-37
0.075	Base	GSI C	38506	38501	69774	-6	-6	-183
0.075	Base	GSIgroup1	3809	3814	3834	-4	-3	-5
0.075	Base	GSIgroup10	37826	37830	45381	5	8	-91
0.075	Base	GSIgroup2	3591	3594	3594	1	1	1
0.075	Base	GSIgroup4	6910	6918	6921	0	0	-2
0.075	Base	GSIgroup5	7963	7969	8022	-1	0	-8
0.075	Base	GSIgroup7	9924	9924	9938	-3	-3	-6
0.075	Base	GSIgroup8	15146	15147	20422	-10	-10	-80
0.075	Base	PBT A	1243	1245	1225	2	2	3
0.075	Base	PBT B	5755	5795	6655	-5	-6	48
0.075	Base	PBT C	3482	3481	4571	-3	-3	58
0.075	Base	pbtGroup1	893	893	744	-1	-1	6
0.075	Base	pbtGroup10	1545	1546	1434	-1	-1	3
0.075	Base	pbtGroup12	1575	1575	1529	2	2	5
0.075	Base	pbtGroup13	1652	1652	1518	2	2	15
0.075	Base	pbtGroup14	2112	2112	2065	4	4	7
0.075	Base	pbtGroup15	2580	2580	2611	1	1	27
0.075	Base	pbtGroup16	2971	2971	2912	-1	-1	1
0.075	Base	pbtGroup17	3320	3320	3165	-1	-1	6
0.075	Base	pbtGroup18	4492	4499	4461	5	4	20
0.075	Base	pbtGroup19	3526	3526	3464	1	1	20
0.075	Base	pbtGroup2	1092	1092	918	-1	-1	18
0.075	Base	pbtGroup20	4683	4683	4784	4	4	29
0.075	Base	pbtGroup21	4179	4179	4159	8	7	11
0.075	Base	pbtGroup22	5142	5154	7016	5	4	58
0.075	Base	pbtGroup23	5690	5716	5453	-2	-3	9
0.075	Base	pbtGroup25	13285	13324	14977	1	0	57
0.075	Base	pbtGroup3	1103	1103	1103	-3	-3	-3
0.075	Base	pbtGroup4	1394	1394	1317	-1	-1	2
0.075	Base	pbtGroup5	1408	1408	1373	-4	-4	-3
0.075	Base	pbtGroup6	1286	1286	1127	-1	-1	6
0.075	Base	pbtGroup7	1350	1352	1272	1	1	5
0.075	Base	pbtGroup9	1525	1525	1492	-2	-2	-1
0.1	Base	GSI A	4608	4609	4608	0	1	-2
0.1	Base	GSI B	7101	7101	8471	3	3	-39
0.1	Base	GSI C	27186	27191	57342	-2	-2	-176
0.1	Base	GSIgroup1	2882	2887	2893	-1	-1	-3
0.1	Base	GSIgroup10	28476	28445	38377	-7	-4	-102
0.1	Base	GSIgroup2	2842	2845	2842	0	0	0
0.1	Base	GSIgroup4	4717	4723	4721	1	1	-1
0.1	Base	GSIgroup5	5784	5779	5879	-3	-2	-10
0.1	Base	GSIgroup7	7054	7053	7057	-1	-1	-4
0.1	Base	GSIgroup8	11603	11603	15787	1	1	-69
0.1	Base	PBT A	1002	1004	985	0	0	1
0.1	Base	PBT B	4999	5040	6381	-2	-3	51
0.1	Base	PBT C	2453	2453	4739	5	5	62
0.1	Base	pbtGroup1	708	708	609	0	0	7
0.1	Base	pbtGroup10	972	972	908	-1	-1	4
