scenario	newGroup	MSE_MLE	MSE_Ac	MSE_NoEx	ER_MLE	ER_Ac	ER_NoEx
3	GSI A, category 1	1009	1009	1012	-1	-1	-2
3	GSI A, category 2	1474	1473	1474	0	0	-1
3	GSI B, category 1	1547	1549	1796	1	1	-16
3	GSI B, category 2	2300	2308	2821	2	2	-23
3	GSI C, category 1	6934	6921	12272	-4	-4	-74
3	GSI C, category 2	9500	9515	19552	4	3	-102
3	GSIgroup1, category 1	574	576	577	-1	-1	-2
3	GSIgroup1, category 2	812	812	815	0	0	-1
3	GSIgroup10, category 1	6592	6604	7559	7	8	-32
3	GSIgroup10, category 2	9467	9464	13431	-7	-6	-64
3	GSIgroup2, category 1	538	538	539	1	1	1
3	GSIgroup2, category 2	791	791	791	0	0	0
3	GSIgroup4, category 1	942	943	947	-1	-1	-2
3	GSIgroup4, category 2	1535	1538	1531	2	2	0
3	GSIgroup5, category 1	1231	1231	1250	-2	-2	-5
3	GSIgroup5, category 2	1809	1812	1842	-2	-2	-6
3	GSIgroup7, category 1	1318	1318	1318	0	0	-1
3	GSIgroup7, category 2	1894	1894	1912	-4	-4	-6
3	GSIgroup8, category 1	3674	3675	4518	-3	-3	-31
3	GSIgroup8, category 2	5077	5078	6756	-1	-1	-43
3	PBT A, category 1	215	216	211	0	0	0
3	PBT A, category 2	323	324	319	0	0	1
3	PBT B, category 1	877	883	1092	0	-1	20
3	PBT B, category 2	1261	1267	2035	1	1	33
3	PBT C, category 1	465	465	764	1	1	24
3	PBT C, category 2	744	743	1573	0	0	36
3	pbtGroup1, category 2	219	219	192	0	0	4
3	pbtGroup10, category 1	195	195	185	1	1	2
3	pbtGroup10, category 2	329	329	315	1	1	4
3	pbtGroup12, category 1	275	275	265	0	0	1
3	pbtGroup12, category 2	347	347	336	1	1	2
3	pbtGroup13, category 1	246	246	220	0	0	5
3	pbtGroup13, category 2	364	364	362	1	1	9
3	pbtGroup14, category 1	315	315	305	0	0	2
3	pbtGroup14, category 2	487	487	476	1	1	3
3	pbtGroup15, category 1	428	428	433	0	0	11
3	pbtGroup15, category 2	624	624	681	-1	-1	15
3	pbtGroup16, category 1	458	458	448	-1	-1	0
3	pbtGroup16, category 2	608	608	597	0	0	1
3	pbtGroup17, category 1	491	491	466	-1	-1	2
3	pbtGroup17, category 2	740	741	711	-1	-1	4
3	pbtGroup18, category 1	679	681	654	0	0	6
3	pbtGroup18, category 2	1075	1076	1106	2	2	12
3	pbtGroup19, category 1	564	564	568	1	1	9
