Group	GSIgroup1	GSIgroup2	GSIgroup3	GSIgroup4	GSIgroup5	GSIgroup6	GSIgroup7	GSIgroup8	GSIgroup9	GSIgroup10
PBTgroup1	0	0	1	0	0	0	0	0	3	7
PBTgroup2	0	0	0	0	0	0	0	12	0	0
PBTgroup3	0	0	0	0	10	0	0	0	0	2
PBTgroup4	0	0	0	0	0	0	14	0	0	0
PBTgroup5	0	0	0	0	1	1	0	0	3	10
PBTgroup6	0	0	0	0	0	0	0	15	0	0
PBTgroup7	0	0	0	7	0	0	0	0	3	5
PBTgroup8	0	0	1	0	10	1	0	0	1	3
PBTgroup9	0	0	0	0	0	0	0	0	15	1
PBTgroup10	0	0	0	0	0	0	0	18	0	0
PBTgroup11	0	0	0	0	0	0	0	0	19	0
PBTgroup12	0	0	0	0	16	1	0	0	0	2
PBTgroup13	0	0	0	0	0	0	0	20	0	0
PBTgroup14	0	0	0	0	0	1	1	0	2	20
PBTgroup15	0	0	0	0	1	0	0	0	23	6
PBTgroup16	0	0	0	0	0	0	1	0	23	8
PBTgroup17	0	0	0	0	0	0	0	43	0	0
PBTgroup18	0	1	0	0	1	0	0	0	40	6
PBTgroup19	0	0	0	0	0	0	0	50	0	0
PBTgroup20	0	0	1	0	1	0	0	0	26	23
PBTgroup21	0	0	0	0	1	2	0	0	26	25
PBTgroup22	2	0	1	0	1	39	0	0	7	5
PBTgroup23	1	0	0	2	2	1	0	0	41	11
PBTgroup24	0	0	0	0	2	2	0	0	52	6
PBTgroup25	0	0	1	0	0	2	0	0	2	147
