group	type	ER
GSIgroup1_cat1	NoEx	-2
GSIgroup1_cat2	NoEx	-3
GSIgroup10_cat1	NoEx	-27
GSIgroup10_cat2	NoEx	-66
GSIgroup2_cat1	NoEx	-1
GSIgroup2_cat2	NoEx	0
GSIgroup3_cat1	NoEx	0
GSIgroup3_cat2	NoEx	-2
GSIgroup4_cat1	NoEx	0
GSIgroup4_cat2	NoEx	-4
GSIgroup5_cat1	NoEx	-2
GSIgroup5_cat2	NoEx	-8
GSIgroup6_cat1	NoEx	-13
GSIgroup6_cat2	NoEx	-30
GSIgroup7_cat1	NoEx	0
GSIgroup7_cat2	NoEx	-2
GSIgroup8_cat1	NoEx	-17
GSIgroup8_cat2	NoEx	-49
GSIgroup9_cat1	NoEx	-51
GSIgroup9_cat2	NoEx	-122
pbtGroup1_cat2	NoEx	5
pbtGroup10_cat1	NoEx	1
pbtGroup10_cat2	NoEx	3
pbtGroup11_cat1	NoEx	18
pbtGroup11_cat2	NoEx	42
pbtGroup12_cat1	NoEx	0
pbtGroup12_cat2	NoEx	1
pbtGroup13_cat1	NoEx	4
pbtGroup13_cat2	NoEx	8
pbtGroup14_cat1	NoEx	1
pbtGroup14_cat2	NoEx	2
pbtGroup15_cat1	NoEx	8
pbtGroup15_cat2	NoEx	18
pbtGroup16_cat1	NoEx	1
pbtGroup16_cat2	NoEx	2
pbtGroup17_cat1	NoEx	1
pbtGroup17_cat2	NoEx	5
pbtGroup18_cat1	NoEx	5
pbtGroup18_cat2	NoEx	12
pbtGroup19_cat1	NoEx	6
pbtGroup19_cat2	NoEx	15
pbtGroup2_cat1	NoEx	6
pbtGroup2_cat2	NoEx	13
pbtGroup20_cat1	NoEx	7
pbtGroup20_cat2	NoEx	17
pbtGroup21_cat1	NoEx	0
pbtGroup21_cat2	NoEx	4
pbtGroup22_cat1	NoEx	17
pbtGroup22_cat2	NoEx	39
pbtGroup23_cat1	NoEx	3
pbtGroup23_cat2	NoEx	7
pbtGroup24_cat1	NoEx	17
pbtGroup24_cat2	NoEx	38
pbtGroup25_cat1	NoEx	17
pbtGroup25_cat2	NoEx	36
pbtGroup3_cat1	NoEx	0
pbtGroup3_cat2	NoEx	-1
pbtGroup4_cat1	NoEx	1
pbtGroup4_cat2	NoEx	2
pbtGroup5_cat1	NoEx	0
pbtGroup5_cat2	NoEx	0
pbtGroup6_cat1	NoEx	2
pbtGroup6_cat2	NoEx	5
pbtGroup7_cat1	NoEx	1
pbtGroup7_cat2	NoEx	2
pbtGroup8_cat1	NoEx	1
pbtGroup8_cat2	NoEx	1
pbtGroup9_cat1	NoEx	1
pbtGroup9_cat2	NoEx	1
GSIgroup1_cat1	TotEx	4
GSIgroup1_cat2	TotEx	0
GSIgroup10_cat1	TotEx	51
GSIgroup10_cat2	TotEx	-30
GSIgroup2_cat1	TotEx	5
GSIgroup2_cat2	TotEx	2
GSIgroup3_cat1	TotEx	10
GSIgroup3_cat2	TotEx	3
GSIgroup4_cat1	TotEx	11
GSIgroup4_cat2	TotEx	1
GSIgroup5_cat1	TotEx	11
GSIgroup5_cat2	TotEx	-2
GSIgroup6_cat1	TotEx	3
GSIgroup6_cat2	TotEx	-23
GSIgroup7_cat1	TotEx	15
GSIgroup7_cat2	TotEx	5
GSIgroup8_cat1	TotEx	22
GSIgroup8_cat2	TotEx	-31
GSIgroup9_cat1	TotEx	32
GSIgroup9_cat2	TotEx	-83
pbtGroup1_cat2	TotEx	NA
pbtGroup10_cat1	TotEx	NA
pbtGroup10_cat2	TotEx	NA
