group	type	MSE
GSIgroup1_cat1	NoEx	983
GSIgroup1_cat2	NoEx	440
GSIgroup10_cat1	NoEx	11039
GSIgroup10_cat2	NoEx	9923
GSIgroup2_cat1	NoEx	957
GSIgroup2_cat2	NoEx	413
GSIgroup3_cat1	NoEx	1618
GSIgroup3_cat2	NoEx	775
GSIgroup4_cat1	NoEx	1904
GSIgroup4_cat2	NoEx	838
GSIgroup5_cat1	NoEx	2091
GSIgroup5_cat2	NoEx	973
GSIgroup6_cat1	NoEx	2688
GSIgroup6_cat2	NoEx	2113
GSIgroup7_cat1	NoEx	2243
GSIgroup7_cat2	NoEx	1043
GSIgroup8_cat1	NoEx	5867
GSIgroup8_cat2	NoEx	5385
GSIgroup9_cat1	NoEx	12478
GSIgroup9_cat2	NoEx	20318
pbtGroup1_cat2	NoEx	233
pbtGroup10_cat1	NoEx	147
pbtGroup10_cat2	NoEx	338
pbtGroup11_cat1	NoEx	454
pbtGroup11_cat2	NoEx	2090
pbtGroup12_cat1	NoEx	180
pbtGroup12_cat2	NoEx	430
pbtGroup13_cat1	NoEx	163
pbtGroup13_cat2	NoEx	404
pbtGroup14_cat1	NoEx	234
pbtGroup14_cat2	NoEx	516
pbtGroup15_cat1	NoEx	303
pbtGroup15_cat2	NoEx	884
pbtGroup16_cat1	NoEx	298
pbtGroup16_cat2	NoEx	685
pbtGroup17_cat1	NoEx	345
pbtGroup17_cat2	NoEx	827
pbtGroup18_cat1	NoEx	519
pbtGroup18_cat2	NoEx	1236
pbtGroup19_cat1	NoEx	419
pbtGroup19_cat2	NoEx	1085
pbtGroup2_cat1	NoEx	105
pbtGroup2_cat2	NoEx	363
pbtGroup20_cat1	NoEx	480
pbtGroup20_cat2	NoEx	1271
pbtGroup21_cat1	NoEx	558
pbtGroup21_cat2	NoEx	1219
pbtGroup22_cat1	NoEx	704
pbtGroup22_cat2	NoEx	2466
pbtGroup23_cat1	NoEx	557
pbtGroup23_cat2	NoEx	1435
pbtGroup24_cat1	NoEx	786
