group	type	ER
GSIgroup1_cat1	NoEx	-2
GSIgroup1_cat2	NoEx	-1
GSIgroup10_cat1	NoEx	-32
GSIgroup10_cat2	NoEx	-64
GSIgroup2_cat1	NoEx	1
GSIgroup2_cat2	NoEx	0
GSIgroup3_cat1	NoEx	-2
GSIgroup3_cat2	NoEx	-1
GSIgroup4_cat1	NoEx	-2
GSIgroup4_cat2	NoEx	0
GSIgroup5_cat1	NoEx	-5
GSIgroup5_cat2	NoEx	-6
GSIgroup6_cat1	NoEx	-16
GSIgroup6_cat2	NoEx	-23
GSIgroup7_cat1	NoEx	-1
GSIgroup7_cat2	NoEx	-6
GSIgroup8_cat1	NoEx	-31
GSIgroup8_cat2	NoEx	-43
GSIgroup9_cat1	NoEx	-74
GSIgroup9_cat2	NoEx	-102
pbtGroup1_cat2	NoEx	4
pbtGroup10_cat1	NoEx	2
pbtGroup10_cat2	NoEx	4
pbtGroup11_cat1	NoEx	24
pbtGroup11_cat2	NoEx	36
pbtGroup12_cat1	NoEx	1
pbtGroup12_cat2	NoEx	2
pbtGroup13_cat1	NoEx	5
pbtGroup13_cat2	NoEx	9
pbtGroup14_cat1	NoEx	2
pbtGroup14_cat2	NoEx	3
pbtGroup15_cat1	NoEx	11
pbtGroup15_cat2	NoEx	15
pbtGroup16_cat1	NoEx	0
pbtGroup16_cat2	NoEx	1
pbtGroup17_cat1	NoEx	2
pbtGroup17_cat2	NoEx	4
pbtGroup18_cat1	NoEx	6
pbtGroup18_cat2	NoEx	12
pbtGroup19_cat1	NoEx	9
pbtGroup19_cat2	NoEx	11
pbtGroup2_cat1	NoEx	8
pbtGroup2_cat2	NoEx	11
pbtGroup20_cat1	NoEx	10
pbtGroup20_cat2	NoEx	16
pbtGroup21_cat1	NoEx	2
pbtGroup21_cat2	NoEx	1
pbtGroup22_cat1	NoEx	21
pbtGroup22_cat2	NoEx	32
pbtGroup23_cat1	NoEx	6
pbtGroup23_cat2	NoEx	7
pbtGroup24_cat1	NoEx	20
pbtGroup24_cat2	NoEx	33
pbtGroup25_cat1	NoEx	23
pbtGroup25_cat2	NoEx	37
pbtGroup3_cat1	NoEx	0
pbtGroup3_cat2	NoEx	-1
pbtGroup4_cat1	NoEx	1
pbtGroup4_cat2	NoEx	2
pbtGroup5_cat1	NoEx	0
pbtGroup5_cat2	NoEx	2
