group	type	MSE
GSIgroup1_cat1	NoEx	577
GSIgroup1_cat2	NoEx	815
GSIgroup10_cat1	NoEx	7559
GSIgroup10_cat2	NoEx	13431
GSIgroup2_cat1	NoEx	539
GSIgroup2_cat2	NoEx	791
GSIgroup3_cat1	NoEx	1012
GSIgroup3_cat2	NoEx	1474
GSIgroup4_cat1	NoEx	947
GSIgroup4_cat2	NoEx	1531
GSIgroup5_cat1	NoEx	1250
GSIgroup5_cat2	NoEx	1842
GSIgroup6_cat1	NoEx	1796
GSIgroup6_cat2	NoEx	2821
GSIgroup7_cat1	NoEx	1318
GSIgroup7_cat2	NoEx	1912
GSIgroup8_cat1	NoEx	4518
GSIgroup8_cat2	NoEx	6756
GSIgroup9_cat1	NoEx	12272
GSIgroup9_cat2	NoEx	19552
pbtGroup1_cat2	NoEx	192
pbtGroup10_cat1	NoEx	185
pbtGroup10_cat2	NoEx	315
pbtGroup11_cat1	NoEx	764
pbtGroup11_cat2	NoEx	1573
pbtGroup12_cat1	NoEx	265
pbtGroup12_cat2	NoEx	336
pbtGroup13_cat1	NoEx	220
pbtGroup13_cat2	NoEx	362
pbtGroup14_cat1	NoEx	305
pbtGroup14_cat2	NoEx	476
pbtGroup15_cat1	NoEx	433
pbtGroup15_cat2	NoEx	681
pbtGroup16_cat1	NoEx	448
pbtGroup16_cat2	NoEx	597
pbtGroup17_cat1	NoEx	466
pbtGroup17_cat2	NoEx	711
pbtGroup18_cat1	NoEx	654
pbtGroup18_cat2	NoEx	1106
pbtGroup19_cat1	NoEx	568
pbtGroup19_cat2	NoEx	878
pbtGroup2_cat1	NoEx	160
pbtGroup2_cat2	NoEx	291
pbtGroup20_cat1	NoEx	668
pbtGroup20_cat2	NoEx	1058
pbtGroup21_cat1	NoEx	708
pbtGroup21_cat2	NoEx	1096
pbtGroup22_cat1	NoEx	1041
pbtGroup22_cat2	NoEx	1854
pbtGroup23_cat1	NoEx	800
pbtGroup23_cat2	NoEx	1303
pbtGroup24_cat1	NoEx	1092
pbtGroup24_cat2	NoEx	2035
pbtGroup25_cat1	NoEx	2158
pbtGroup25_cat2	NoEx	4051
pbtGroup3_cat1	NoEx	147
pbtGroup3_cat2	NoEx	253
pbtGroup4_cat1	NoEx	190
pbtGroup4_cat2	NoEx	285
pbtGroup5_cat1	NoEx	211
pbtGroup5_cat2	NoEx	308
pbtGroup6_cat1	NoEx	162
pbtGroup6_cat2	NoEx	254
pbtGroup7_cat1	NoEx	199
pbtGroup7_cat2	NoEx	288
pbtGroup8_cat1	NoEx	211
pbtGroup8_cat2	NoEx	319
pbtGroup9_cat1	NoEx	227
pbtGroup9_cat2	NoEx	326
GSIgroup1_cat1	TotEx	545
GSIgroup1_cat2	TotEx	782
GSIgroup10_cat1	TotEx	6376
GSIgroup10_cat2	TotEx	8946
GSIgroup2_cat1	TotEx	525
GSIgroup2_cat2	TotEx	767
GSIgroup3_cat1	TotEx	971
GSIgroup3_cat2	TotEx	1449
GSIgroup4_cat1	TotEx	911
GSIgroup4_cat2	TotEx	1554
GSIgroup5_cat1	TotEx	1163
GSIgroup5_cat2	TotEx	1730
GSIgroup6_cat1	TotEx	1499
GSIgroup6_cat2	TotEx	2246
GSIgroup7_cat1	TotEx	1302
GSIgroup7_cat2	TotEx	1815
GSIgroup8_cat1	TotEx	3529
GSIgroup8_cat2	TotEx	4871
GSIgroup9_cat1	TotEx	7083
GSIgroup9_cat2	TotEx	9681
pbtGroup1_cat2	TotEx	NA
pbtGroup10_cat1	TotEx	NA
pbtGroup10_cat2	TotEx	NA
pbtGroup11_cat1	TotEx	NA
pbtGroup11_cat2	TotEx	NA
pbtGroup12_cat1	TotEx	NA
pbtGroup12_cat2	TotEx	NA
pbtGroup13_cat1	TotEx	NA
pbtGroup13_cat2	TotEx	NA
pbtGroup14_cat1	TotEx	NA
pbtGroup14_cat2	TotEx	NA
pbtGroup15_cat1	TotEx	NA
pbtGroup15_cat2	TotEx	NA
pbtGroup16_cat1	TotEx	NA
pbtGroup16_cat2	TotEx	NA
pbtGroup17_cat1	TotEx	NA
pbtGroup17_cat2	TotEx	NA
pbtGroup18_cat1	TotEx	NA
pbtGroup18_cat2	TotEx	NA
pbtGroup19_cat1	TotEx	NA
pbtGroup19_cat2	TotEx	NA
pbtGroup2_cat1	TotEx	NA
pbtGroup2_cat2	TotEx	NA
pbtGroup20_cat1	TotEx	NA
pbtGroup20_cat2	TotEx	NA
pbtGroup21_cat1	TotEx	NA
pbtGroup21_cat2	TotEx	NA
pbtGroup22_cat1	TotEx	NA
pbtGroup22_cat2	TotEx	NA
pbtGroup23_cat1	TotEx	NA
pbtGroup23_cat2	TotEx	NA
pbtGroup24_cat1	TotEx	NA
pbtGroup24_cat2	TotEx	NA
pbtGroup25_cat1	TotEx	NA
pbtGroup25_cat2	TotEx	NA
pbtGroup3_cat1	TotEx	NA
pbtGroup3_cat2	TotEx	NA
pbtGroup4_cat1	TotEx	NA
pbtGroup4_cat2	TotEx	NA
pbtGroup5_cat1	TotEx	NA
pbtGroup5_cat2	TotEx	NA
pbtGroup6_cat1	TotEx	NA
pbtGroup6_cat2	TotEx	NA
pbtGroup7_cat1	TotEx	NA
pbtGroup7_cat2	TotEx	NA
pbtGroup8_cat1	TotEx	NA
pbtGroup8_cat2	TotEx	NA
pbtGroup9_cat1	TotEx	NA
pbtGroup9_cat2	TotEx	NA
GSIgroup1_cat1	Ac	576
GSIgroup1_cat2	Ac	812
GSIgroup10_cat1	Ac	6604
GSIgroup10_cat2	Ac	9464
GSIgroup2_cat1	Ac	538
GSIgroup2_cat2	Ac	791
GSIgroup3_cat1	Ac	1009
GSIgroup3_cat2	Ac	1473
GSIgroup4_cat1	Ac	943
GSIgroup4_cat2	Ac	1538
GSIgroup5_cat1	Ac	1231
