group	type	ER
GSIgroup1	NoEx	-42
GSIgroup10	NoEx	-36
GSIgroup2	NoEx	-38
GSIgroup3	NoEx	-42
GSIgroup4	NoEx	-40
GSIgroup5	NoEx	-39
GSIgroup6	NoEx	-38
GSIgroup7	NoEx	-42
GSIgroup8	NoEx	-47
GSIgroup9	NoEx	-31
pbtGroup10	NoEx	3
pbtGroup11	NoEx	59
pbtGroup12	NoEx	2
pbtGroup13	NoEx	13
pbtGroup14	NoEx	2
pbtGroup15	NoEx	26
pbtGroup16	NoEx	3
pbtGroup17	NoEx	8
pbtGroup18	NoEx	15
pbtGroup19	NoEx	20
pbtGroup2	NoEx	19
pbtGroup20	NoEx	22
pbtGroup21	NoEx	0
pbtGroup22	NoEx	54
pbtGroup23	NoEx	11
pbtGroup24	NoEx	55
pbtGroup25	NoEx	59
pbtGroup3	NoEx	-1
pbtGroup4	NoEx	3
pbtGroup5	NoEx	1
pbtGroup6	NoEx	7
pbtGroup7	NoEx	4
pbtGroup8	NoEx	2
pbtGroup9	NoEx	0
GSIgroup1	TotEx	-33
GSIgroup10	TotEx	77
GSIgroup2	TotEx	-29
GSIgroup3	TotEx	-26
GSIgroup4	TotEx	-23
GSIgroup5	TotEx	-20
GSIgroup6	TotEx	-16
GSIgroup7	TotEx	-19
GSIgroup8	TotEx	11
GSIgroup9	TotEx	86
pbtGroup10	TotEx	NA
pbtGroup11	TotEx	NA
pbtGroup12	TotEx	NA
pbtGroup13	TotEx	NA
pbtGroup14	TotEx	NA
pbtGroup15	TotEx	NA
pbtGroup16	TotEx	NA
pbtGroup17	TotEx	NA
pbtGroup18	TotEx	NA
pbtGroup19	TotEx	NA
pbtGroup2	TotEx	NA
pbtGroup20	TotEx	NA
pbtGroup21	TotEx	NA
pbtGroup22	TotEx	NA
pbtGroup23	TotEx	NA
pbtGroup24	TotEx	NA
pbtGroup25	TotEx	NA
pbtGroup3	TotEx	NA
pbtGroup4	TotEx	NA
pbtGroup5	TotEx	NA
pbtGroup6	TotEx	NA
pbtGroup7	TotEx	NA
pbtGroup8	TotEx	NA
pbtGroup9	TotEx	NA
GSIgroup1	Ac	-1
GSIgroup10	Ac	6
GSIgroup2	Ac	2
GSIgroup3	Ac	-1
GSIgroup4	Ac	0
GSIgroup5	Ac	1
GSIgroup6	Ac	1
GSIgroup7	Ac	-2
GSIgroup8	Ac	-6
GSIgroup9	Ac	10
pbtGroup10	Ac	-1
pbtGroup11	Ac	-2
pbtGroup12	Ac	-1
pbtGroup13	Ac	0
pbtGroup14	Ac	-1
pbtGroup15	Ac	-1
pbtGroup16	Ac	1
pbtGroup17	Ac	1
pbtGroup18	Ac	-1
pbtGroup19	Ac	1
pbtGroup2	Ac	1
pbtGroup20	Ac	-3
pbtGroup21	Ac	-3
pbtGroup22	Ac	0
pbtGroup23	Ac	-1
pbtGroup24	Ac	2
pbtGroup25	Ac	2
pbtGroup3	Ac	-1
pbtGroup4	Ac	0
pbtGroup5	Ac	0
pbtGroup6	Ac	-1
pbtGroup7	Ac	0
pbtGroup8	Ac	1
pbtGroup9	Ac	-1
GSIgroup1	MLE	-5
GSIgroup10	MLE	4
GSIgroup2	MLE	-4
GSIgroup3	MLE	-4
GSIgroup4	MLE	-3
GSIgroup5	MLE	-3
GSIgroup6	MLE	-1
GSIgroup7	MLE	-5
GSIgroup8	MLE	-12
GSIgroup9	MLE	9
pbtGroup10	MLE	0
pbtGroup11	MLE	5
pbtGroup12	MLE	-1
pbtGroup13	MLE	2
pbtGroup14	MLE	-1
pbtGroup15	MLE	1
pbtGroup16	MLE	1
pbtGroup17	MLE	1
pbtGroup18	MLE	0
pbtGroup19	MLE	3
pbtGroup2	MLE	2
pbtGroup20	MLE	-2
pbtGroup21	MLE	-3
pbtGroup22	MLE	1
pbtGroup23	MLE	1
pbtGroup24	MLE	8
pbtGroup25	MLE	6
pbtGroup3	MLE	-1
pbtGroup4	MLE	0
pbtGroup5	MLE	0
pbtGroup6	MLE	0
pbtGroup7	MLE	0
pbtGroup8	MLE	1
pbtGroup9	MLE	-1
