sr	group	type	MSE
0.2	GSIgroup1	NoEx	3638
0.2	GSIgroup10	NoEx	14901
0.2	GSIgroup2	NoEx	3267
0.2	GSIgroup3	NoEx	4666
0.2	GSIgroup4	NoEx	4639
0.2	GSIgroup5	NoEx	4694
0.2	GSIgroup6	NoEx	4921
0.2	GSIgroup7	NoEx	5387
0.2	GSIgroup8	NoEx	8242
0.2	GSIgroup9	NoEx	13460
0.2	pbtGroup1	NoEx	355
0.2	pbtGroup10	NoEx	518
0.2	pbtGroup11	NoEx	3863
0.2	pbtGroup12	NoEx	602
0.2	pbtGroup13	NoEx	666
0.2	pbtGroup14	NoEx	834
0.2	pbtGroup15	NoEx	1484
0.2	pbtGroup16	NoEx	1015
0.2	pbtGroup17	NoEx	1248
0.2	pbtGroup18	NoEx	1766
0.2	pbtGroup19	NoEx	1712
0.2	pbtGroup2	NoEx	642
0.2	pbtGroup20	NoEx	1980
0.2	pbtGroup21	NoEx	1694
0.2	pbtGroup22	NoEx	4379
0.2	pbtGroup23	NoEx	2006
0.2	pbtGroup24	NoEx	4706
0.2	pbtGroup25	NoEx	7736
0.2	pbtGroup3	NoEx	404
0.2	pbtGroup4	NoEx	505
0.2	pbtGroup5	NoEx	503
0.2	pbtGroup6	NoEx	447
0.2	pbtGroup7	NoEx	476
0.2	pbtGroup8	NoEx	528
0.2	pbtGroup9	NoEx	580
0.2	GSIgroup1	TotEx	2828
0.2	GSIgroup10	TotEx	19273
0.2	GSIgroup2	TotEx	2535
0.2	GSIgroup3	TotEx	3450
0.2	GSIgroup4	TotEx	3360
0.2	GSIgroup5	TotEx	3362
0.2	GSIgroup6	TotEx	3520
0.2	GSIgroup7	TotEx	3764
0.2	GSIgroup8	TotEx	6143
0.2	GSIgroup9	TotEx	19650
0.2	pbtGroup1	TotEx	NA
0.2	pbtGroup10	TotEx	NA
0.2	pbtGroup11	TotEx	NA
0.2	pbtGroup12	TotEx	NA
0.2	pbtGroup13	TotEx	NA
0.2	pbtGroup14	TotEx	NA
0.2	pbtGroup15	TotEx	NA
0.2	pbtGroup16	TotEx	NA
0.2	pbtGroup17	TotEx	NA
0.2	pbtGroup18	TotEx	NA
0.2	pbtGroup19	TotEx	NA
0.2	pbtGroup2	TotEx	NA
0.2	pbtGroup20	TotEx	NA
0.2	pbtGroup21	TotEx	NA
0.2	pbtGroup22	TotEx	NA
0.2	pbtGroup23	TotEx	NA
0.2	pbtGroup24	TotEx	NA
0.2	pbtGroup25	TotEx	NA
0.2	pbtGroup3	TotEx	NA
0.2	pbtGroup4	TotEx	NA
0.2	pbtGroup5	TotEx	NA
0.2	pbtGroup6	TotEx	NA
0.2	pbtGroup7	TotEx	NA
0.2	pbtGroup8	TotEx	NA
0.2	pbtGroup9	TotEx	NA
0.2	GSIgroup1	Ac	1697
0.2	GSIgroup10	Ac	13619
0.2	GSIgroup2	Ac	1688
0.2	GSIgroup3	Ac	2799
0.2	GSIgroup4	Ac	2796
0.2	GSIgroup5	Ac	3074
0.2	GSIgroup6	Ac	3325
0.2	GSIgroup7	Ac	3457
0.2	GSIgroup8	Ac	5970
0.2	GSIgroup9	Ac	12653
0.2	pbtGroup1	Ac	364
0.2	pbtGroup10	Ac	549
0.2	pbtGroup11	Ac	1248
0.2	pbtGroup12	Ac	624
0.2	pbtGroup13	Ac	629
0.2	pbtGroup14	Ac	867
0.2	pbtGroup15	Ac	1112
0.2	pbtGroup16	Ac	1027
0.2	pbtGroup17	Ac	1260
0.2	pbtGroup18	Ac	1708
0.2	pbtGroup19	Ac	1499
0.2	pbtGroup2	Ac	510
0.2	pbtGroup20	Ac	1764
0.2	pbtGroup21	Ac	1738
0.2	pbtGroup22	Ac	2016
0.2	pbtGroup23	Ac	2003
0.2	pbtGroup24	Ac	2223
0.2	pbtGroup25	Ac	4822
0.2	pbtGroup3	Ac	404
0.2	pbtGroup4	Ac	530
0.2	pbtGroup5	Ac	512
0.2	pbtGroup6	Ac	478
0.2	pbtGroup7	Ac	503
0.2	pbtGroup8	Ac	536
0.2	pbtGroup9	Ac	592
0.2	GSIgroup1	MLE	1689
0.2	GSIgroup10	MLE	13586
0.2	GSIgroup2	MLE	1648
0.2	GSIgroup3	MLE	2794
0.2	GSIgroup4	MLE	2785
0.2	GSIgroup5	MLE	3075
0.2	GSIgroup6	MLE	3320
0.2	GSIgroup7	MLE	3482
0.2	GSIgroup8	MLE	6013
0.2	GSIgroup9	MLE	12649
0.2	pbtGroup1	MLE	357
0.2	pbtGroup10	MLE	546
0.2	pbtGroup11	MLE	1169
0.2	pbtGroup12	MLE	623
0.2	pbtGroup13	MLE	612
0.2	pbtGroup14	MLE	866
0.2	pbtGroup15	MLE	1091
0.2	pbtGroup16	MLE	1026
0.2	pbtGroup17	MLE	1257
0.2	pbtGroup18	MLE	1691
0.2	pbtGroup19	MLE	1487
0.2	pbtGroup2	MLE	494
0.2	pbtGroup20	MLE	1735
0.2	pbtGroup21	MLE	1733
0.2	pbtGroup22	MLE	1997
0.2	pbtGroup23	MLE	1986
0.2	pbtGroup24	MLE	2223
0.2	pbtGroup25	MLE	4785
0.2	pbtGroup3	MLE	404
0.2	pbtGroup4	MLE	529
0.2	pbtGroup5	MLE	512
0.2	pbtGroup6	MLE	471
0.2	pbtGroup7	MLE	502
0.2	pbtGroup8	MLE	536
0.2	pbtGroup9	MLE	592
