group	type	MSE
GSIgroup1_cat1	NoEx	992
GSIgroup1_cat2	NoEx	559
GSIgroup10_cat1	NoEx	159818
GSIgroup10_cat2	NoEx	813209
GSIgroup2_cat1	NoEx	953
GSIgroup2_cat2	NoEx	409
GSIgroup3_cat1	NoEx	1763
GSIgroup3_cat2	NoEx	1010
GSIgroup4_cat1	NoEx	2163
GSIgroup4_cat2	NoEx	1932
GSIgroup5_cat1	NoEx	6621
GSIgroup5_cat2	NoEx	22430
GSIgroup6_cat1	NoEx	6758
GSIgroup6_cat2	NoEx	25585
GSIgroup7_cat1	NoEx	2944
GSIgroup7_cat2	NoEx	4434
GSIgroup8_cat1	NoEx	43095
GSIgroup8_cat2	NoEx	202019
GSIgroup9_cat1	NoEx	175855
GSIgroup9_cat2	NoEx	889198
pbtGroup1_cat2	NoEx	1100
pbtGroup10_cat1	NoEx	461
pbtGroup10_cat2	NoEx	2685
pbtGroup11_cat1	NoEx	1043
pbtGroup11_cat2	NoEx	5350
pbtGroup12_cat1	NoEx	731
pbtGroup12_cat2	NoEx	3790
pbtGroup13_cat1	NoEx	562
pbtGroup13_cat2	NoEx	3259
pbtGroup14_cat1	NoEx	1285
pbtGroup14_cat2	NoEx	6810
pbtGroup15_cat1	NoEx	1517
pbtGroup15_cat2	NoEx	8064
pbtGroup16_cat1	NoEx	1953
pbtGroup16_cat2	NoEx	10123
pbtGroup17_cat1	NoEx	2907
pbtGroup17_cat2	NoEx	14787
pbtGroup18_cat1	NoEx	4960
pbtGroup18_cat2	NoEx	26964
pbtGroup19_cat1	NoEx	3769
pbtGroup19_cat2	NoEx	19827
pbtGroup2_cat1	NoEx	258
pbtGroup2_cat2	NoEx	1246
pbtGroup20_cat1	NoEx	4529
pbtGroup20_cat2	NoEx	25151
pbtGroup21_cat1	NoEx	5793
pbtGroup21_cat2	NoEx	29389
pbtGroup22_cat1	NoEx	5436
pbtGroup22_cat2	NoEx	29017
pbtGroup23_cat1	NoEx	7693
pbtGroup23_cat2	NoEx	40631
pbtGroup24_cat1	NoEx	7985
pbtGroup24_cat2	NoEx	41432
pbtGroup25_cat1	NoEx	41579
pbtGroup25_cat2	NoEx	217165
pbtGroup3_cat1	NoEx	303
pbtGroup3_cat2	NoEx	1597
pbtGroup4_cat1	NoEx	488
pbtGroup4_cat2	NoEx	2440
pbtGroup5_cat1	NoEx	489
pbtGroup5_cat2	NoEx	2883
pbtGroup6_cat1	NoEx	338
pbtGroup6_cat2	NoEx	1929
pbtGroup7_cat1	NoEx	455
pbtGroup7_cat2	NoEx	2497
pbtGroup8_cat1	NoEx	464
pbtGroup8_cat2	NoEx	2503
pbtGroup9_cat1	NoEx	641
pbtGroup9_cat2	NoEx	3478
GSIgroup1_cat1	TotEx	2292
GSIgroup1_cat2	TotEx	433
GSIgroup10_cat1	TotEx	123724
GSIgroup10_cat2	TotEx	172558
GSIgroup2_cat1	TotEx	2040
GSIgroup2_cat2	TotEx	473
