sr	group	covSD	covMLE
0.05	GSIgroup1	0.89	0.88
0.05	GSIgroup10	0.884	0.888
0.05	GSIgroup2	0.878	0.872
0.05	GSIgroup3	0.896	0.894
0.05	GSIgroup4	0.884	0.882
0.05	GSIgroup5	0.904	0.898
0.05	GSIgroup6	0.878	0.88
0.05	GSIgroup7	0.89	0.892
0.05	GSIgroup8	0.898	0.896
0.05	GSIgroup9	0.908	0.9
0.05	pbtGroup1	0.923	0.921
0.05	pbtGroup10	0.871	0.885
0.05	pbtGroup11	0.888	0.89
0.05	pbtGroup12	0.864	0.864
0.05	pbtGroup13	0.865	0.861
0.05	pbtGroup14	0.878	0.878
0.05	pbtGroup15	0.878	0.876
0.05	pbtGroup16	0.886	0.89
0.05	pbtGroup17	0.884	0.882
0.05	pbtGroup18	0.878	0.88
0.05	pbtGroup19	0.904	0.9
0.05	pbtGroup2	0.96	0.96
0.05	pbtGroup20	0.868	0.87
0.05	pbtGroup21	0.904	0.906
0.05	pbtGroup22	0.874	0.88
0.05	pbtGroup23	0.882	0.884
0.05	pbtGroup24	0.892	0.89
0.05	pbtGroup25	0.884	0.886
0.05	pbtGroup3	0.868	0.866
0.05	pbtGroup4	0.861	0.853
0.05	pbtGroup5	0.873	0.873
0.05	pbtGroup6	0.841	0.847
0.05	pbtGroup7	0.879	0.875
0.05	pbtGroup8	0.874	0.874
0.05	pbtGroup9	0.906	0.902
0.075	GSIgroup1	0.91	0.91
0.075	GSIgroup10	0.902	0.906
0.075	GSIgroup2	0.888	0.89
0.075	GSIgroup3	0.9	0.9
0.075	GSIgroup4	0.888	0.892
0.075	GSIgroup5	0.886	0.894
0.075	GSIgroup6	0.888	0.892
0.075	GSIgroup7	0.872	0.872
0.075	GSIgroup8	0.92	0.916
0.075	GSIgroup9	0.89	0.882
0.075	pbtGroup1	0.89	0.896
0.075	pbtGroup10	0.878	0.88
0.075	pbtGroup11	0.866	0.874
0.075	pbtGroup12	0.884	0.882
0.075	pbtGroup13	0.884	0.876
0.075	pbtGroup14	0.888	0.884
0.075	pbtGroup15	0.888	0.9
0.075	pbtGroup16	0.88	0.87
0.075	pbtGroup17	0.888	0.882
0.075	pbtGroup18	0.886	0.888
0.075	pbtGroup19	0.898	0.892
0.075	pbtGroup2	0.892	0.902
0.075	pbtGroup20	0.9	0.894
0.075	pbtGroup21	0.91	0.906
0.075	pbtGroup22	0.882	0.888
0.075	pbtGroup23	0.888	0.888
0.075	pbtGroup24	0.896	0.9
0.075	pbtGroup25	0.878	0.89
0.075	pbtGroup3	0.882	0.884
