sr	group	type	ER
0.05	GSIgroup1	NoEx	1
0.05	GSIgroup10	NoEx	-98
0.05	GSIgroup2	NoEx	-4
0.05	GSIgroup3	NoEx	-4
0.05	GSIgroup4	NoEx	1
0.05	GSIgroup5	NoEx	-6
0.05	GSIgroup6	NoEx	-47
0.05	GSIgroup7	NoEx	-9
0.05	GSIgroup8	NoEx	-67
0.05	GSIgroup9	NoEx	-166
0.05	pbtGroup1	NoEx	7
0.05	pbtGroup10	NoEx	1
0.05	pbtGroup11	NoEx	61
0.05	pbtGroup12	NoEx	2
0.05	pbtGroup13	NoEx	12
0.05	pbtGroup14	NoEx	6
0.05	pbtGroup15	NoEx	29
0.05	pbtGroup16	NoEx	1
0.05	pbtGroup17	NoEx	6
0.05	pbtGroup18	NoEx	15
0.05	pbtGroup19	NoEx	19
0.05	pbtGroup2	NoEx	18
0.05	pbtGroup20	NoEx	24
0.05	pbtGroup21	NoEx	4
0.05	pbtGroup22	NoEx	51
0.05	pbtGroup23	NoEx	12
0.05	pbtGroup24	NoEx	49
0.05	pbtGroup25	NoEx	59
0.05	pbtGroup3	NoEx	-1
0.05	pbtGroup4	NoEx	3
0.05	pbtGroup5	NoEx	1
0.05	pbtGroup6	NoEx	11
0.05	pbtGroup7	NoEx	5
0.05	pbtGroup8	NoEx	3
0.05	pbtGroup9	NoEx	1
0.075	GSIgroup1	NoEx	-5
0.075	GSIgroup10	NoEx	-91
0.075	GSIgroup2	NoEx	1
0.075	GSIgroup3	NoEx	-1
0.075	GSIgroup4	NoEx	-2
0.075	GSIgroup5	NoEx	-8
0.075	GSIgroup6	NoEx	-37
0.075	GSIgroup7	NoEx	-6
0.075	GSIgroup8	NoEx	-80
0.075	GSIgroup9	NoEx	-183
0.075	pbtGroup1	NoEx	6
0.075	pbtGroup10	NoEx	3
0.075	pbtGroup11	NoEx	58
0.075	pbtGroup12	NoEx	5
0.075	pbtGroup13	NoEx	15
0.075	pbtGroup14	NoEx	7
0.075	pbtGroup15	NoEx	27
0.075	pbtGroup16	NoEx	1
0.075	pbtGroup17	NoEx	6
0.075	pbtGroup18	NoEx	20
0.075	pbtGroup19	NoEx	20
0.075	pbtGroup2	NoEx	18
0.075	pbtGroup20	NoEx	29
0.075	pbtGroup21	NoEx	11
0.075	pbtGroup22	NoEx	58
0.075	pbtGroup23	NoEx	9
0.075	pbtGroup24	NoEx	48
0.075	pbtGroup25	NoEx	57
0.075	pbtGroup3	NoEx	-3
0.075	pbtGroup4	NoEx	2
0.075	pbtGroup5	NoEx	-3
0.075	pbtGroup6	NoEx	6
0.075	pbtGroup7	NoEx	5
0.075	pbtGroup8	NoEx	3
0.075	pbtGroup9	NoEx	-1
0.1	GSIgroup1	NoEx	-3
0.1	GSIgroup10	NoEx	-102
0.1	GSIgroup2	NoEx	0
0.1	GSIgroup3	NoEx	-2
0.1	GSIgroup4	NoEx	-1
0.1	GSIgroup5	NoEx	-10
0.1	GSIgroup6	NoEx	-39
0.1	GSIgroup7	NoEx	-4
0.1	GSIgroup8	NoEx	-69
0.1	GSIgroup9	NoEx	-176
0.1	pbtGroup1	NoEx	7
0.1	pbtGroup10	NoEx	4
0.1	pbtGroup11	NoEx	62
0.1	pbtGroup12	NoEx	1
0.1	pbtGroup13	NoEx	14
0.1	pbtGroup14	NoEx	4
0.1	pbtGroup15	NoEx	28
0.1	pbtGroup16	NoEx	0
0.1	pbtGroup17	NoEx	7
0.1	pbtGroup18	NoEx	18
0.1	pbtGroup19	NoEx	20
0.1	pbtGroup2	NoEx	19
0.1	pbtGroup20	NoEx	26
0.1	pbtGroup21	NoEx	1
0.1	pbtGroup22	NoEx	58
0.1	pbtGroup23	NoEx	7
0.1	pbtGroup24	NoEx	51
0.1	pbtGroup25	NoEx	61
0.1	pbtGroup3	NoEx	1
0.1	pbtGroup4	NoEx	3
0.1	pbtGroup5	NoEx	2
0.1	pbtGroup6	NoEx	8
0.1	pbtGroup7	NoEx	5
0.1	pbtGroup8	NoEx	1
0.1	pbtGroup9	NoEx	0
0.15	GSIgroup1	NoEx	-1
0.15	GSIgroup10	NoEx	-108
0.15	GSIgroup2	NoEx	2
0.15	GSIgroup3	NoEx	-1
0.15	GSIgroup4	NoEx	-3
0.15	GSIgroup5	NoEx	-7
0.15	GSIgroup6	NoEx	-40
0.15	GSIgroup7	NoEx	-4
0.15	GSIgroup8	NoEx	-66
0.15	GSIgroup9	NoEx	-157
0.15	pbtGroup1	NoEx	7
0.15	pbtGroup10	NoEx	5
0.15	pbtGroup11	NoEx	58
0.15	pbtGroup12	NoEx	4
0.15	pbtGroup13	NoEx	11
0.15	pbtGroup14	NoEx	1
0.15	pbtGroup15	NoEx	28
0.15	pbtGroup16	NoEx	3
0.15	pbtGroup17	NoEx	9
0.15	pbtGroup18	NoEx	16
0.15	pbtGroup19	NoEx	17
0.15	pbtGroup2	NoEx	19
0.15	pbtGroup20	NoEx	25
0.15	pbtGroup21	NoEx	-2
0.15	pbtGroup22	NoEx	51
0.15	pbtGroup23	NoEx	9
0.15	pbtGroup24	NoEx	52
0.15	pbtGroup25	NoEx	57
0.15	pbtGroup3	NoEx	-1
0.15	pbtGroup4	NoEx	5
0.15	pbtGroup5	NoEx	0
0.15	pbtGroup6	NoEx	6
0.15	pbtGroup7	NoEx	3
0.15	pbtGroup8	NoEx	2
0.15	pbtGroup9	NoEx	0
0.2	GSIgroup1	NoEx	-3
0.2	GSIgroup10	NoEx	-109
0.2	GSIgroup2	NoEx	-1
0.2	GSIgroup3	NoEx	-2
0.2	GSIgroup4	NoEx	1
0.2	GSIgroup5	NoEx	-7
0.2	GSIgroup6	NoEx	-43
0.2	GSIgroup7	NoEx	-3
0.2	GSIgroup8	NoEx	-69
0.2	GSIgroup9	NoEx	-171
0.2	pbtGroup1	NoEx	8
0.2	pbtGroup10	NoEx	3
0.2	pbtGroup11	NoEx	60
0.2	pbtGroup12	NoEx	3
0.2	pbtGroup13	NoEx	14
0.2	pbtGroup14	NoEx	4
0.2	pbtGroup15	NoEx	28
0.2	pbtGroup16	NoEx	2
0.2	pbtGroup17	NoEx	7
0.2	pbtGroup18	NoEx	15
0.2	pbtGroup19	NoEx	20
0.2	pbtGroup2	NoEx	19
0.2	pbtGroup20	NoEx	25
0.2	pbtGroup21	NoEx	1
0.2	pbtGroup22	NoEx	57
0.2	pbtGroup23	NoEx	11
0.2	pbtGroup24	NoEx	54
0.2	pbtGroup25	NoEx	57
0.2	pbtGroup3	NoEx	1
0.2	pbtGroup4	NoEx	2
0.2	pbtGroup5	NoEx	2
0.2	pbtGroup6	NoEx	5
0.2	pbtGroup7	NoEx	4
0.2	pbtGroup8	NoEx	2
0.2	pbtGroup9	NoEx	0
0.25	GSIgroup1	NoEx	0
0.25	GSIgroup10	NoEx	-93
0.25	GSIgroup2	NoEx	0
0.25	GSIgroup3	NoEx	-3
0.25	GSIgroup4	NoEx	-5
0.25	GSIgroup5	NoEx	-8
0.25	GSIgroup6	NoEx	-37
0.25	GSIgroup7	NoEx	-1
0.25	GSIgroup8	NoEx	-70
0.25	GSIgroup9	NoEx	-179
0.25	pbtGroup1	NoEx	8
0.25	pbtGroup10	NoEx	5
0.25	pbtGroup11	NoEx	59
0.25	pbtGroup12	NoEx	1
0.25	pbtGroup13	NoEx	13
0.25	pbtGroup14	NoEx	2
0.25	pbtGroup15	NoEx	24
0.25	pbtGroup16	NoEx	3
0.25	pbtGroup17	NoEx	7
0.25	pbtGroup18	NoEx	17
0.25	pbtGroup19	NoEx	17
0.25	pbtGroup2	NoEx	18
0.25	pbtGroup20	NoEx	26
0.25	pbtGroup21	NoEx	3
0.25	pbtGroup22	NoEx	55
0.25	pbtGroup23	NoEx	14
0.25	pbtGroup24	NoEx	54
0.25	pbtGroup25	NoEx	59
0.25	pbtGroup3	NoEx	-1
0.25	pbtGroup4	NoEx	2
0.25	pbtGroup5	NoEx	0
0.25	pbtGroup6	NoEx	7
0.25	pbtGroup7	NoEx	3
0.25	pbtGroup8	NoEx	0
0.25	pbtGroup9	NoEx	-1
0.3	GSIgroup1	NoEx	-2
0.3	GSIgroup10	NoEx	-90
0.3	GSIgroup2	NoEx	-2
0.3	GSIgroup3	NoEx	-1
0.3	GSIgroup4	NoEx	-7
0.3	GSIgroup5	NoEx	-8
0.3	GSIgroup6	NoEx	-38
0.3	GSIgroup7	NoEx	-5
0.3	GSIgroup8	NoEx	-71
0.3	GSIgroup9	NoEx	-173
0.3	pbtGroup1	NoEx	7
0.3	pbtGroup10	NoEx	4
0.3	pbtGroup11	NoEx	60
0.3	pbtGroup12	NoEx	3
0.3	pbtGroup13	NoEx	13
0.3	pbtGroup14	NoEx	3
0.3	pbtGroup15	NoEx	26
0.3	pbtGroup16	NoEx	3
0.3	pbtGroup17	NoEx	5
0.3	pbtGroup18	NoEx	14
0.3	pbtGroup19	NoEx	20
0.3	pbtGroup2	NoEx	19
0.3	pbtGroup20	NoEx	27
0.3	pbtGroup21	NoEx	3
0.3	pbtGroup22	NoEx	53
0.3	pbtGroup23	NoEx	14
0.3	pbtGroup24	NoEx	55
0.3	pbtGroup25	NoEx	52
0.3	pbtGroup3	NoEx	0
0.3	pbtGroup4	NoEx	3
0.3	pbtGroup5	NoEx	0
0.3	pbtGroup6	NoEx	8
0.3	pbtGroup7	NoEx	5
0.3	pbtGroup8	NoEx	0
0.3	pbtGroup9	NoEx	1
0.35	GSIgroup1	NoEx	1
0.35	GSIgroup10	NoEx	-98
0.35	GSIgroup2	NoEx	-2
0.35	GSIgroup3	NoEx	-5
0.35	GSIgroup4	NoEx	-2
0.35	GSIgroup5	NoEx	-7
0.35	GSIgroup6	NoEx	-44
0.35	GSIgroup7	NoEx	-3
0.35	GSIgroup8	NoEx	-65
0.35	GSIgroup9	NoEx	-179
0.35	pbtGroup1	NoEx	7
0.35	pbtGroup10	NoEx	4
0.35	pbtGroup11	NoEx	60
0.35	pbtGroup12	NoEx	2
0.35	pbtGroup13	NoEx	13
0.35	pbtGroup14	NoEx	3
0.35	pbtGroup15	NoEx	28
0.35	pbtGroup16	NoEx	2
0.35	pbtGroup17	NoEx	8
0.35	pbtGroup18	NoEx	18
0.35	pbtGroup19	NoEx	20
0.35	pbtGroup2	NoEx	18
0.35	pbtGroup20	NoEx	23
0.35	pbtGroup21	NoEx	4
0.35	pbtGroup22	NoEx	56
0.35	pbtGroup23	NoEx	10
0.35	pbtGroup24	NoEx	55
0.35	pbtGroup25	NoEx	60
0.35	pbtGroup3	NoEx	-2
0.35	pbtGroup4	NoEx	3
0.35	pbtGroup5	NoEx	1
0.35	pbtGroup6	NoEx	7
0.35	pbtGroup7	NoEx	4
0.35	pbtGroup8	NoEx	0
0.35	pbtGroup9	NoEx	2
0.4	GSIgroup1	NoEx	-3
0.4	GSIgroup10	NoEx	-102
0.4	GSIgroup2	NoEx	1
0.4	GSIgroup3	NoEx	-5
0.4	GSIgroup4	NoEx	1
0.4	GSIgroup5	NoEx	-6
0.4	GSIgroup6	NoEx	-43
0.4	GSIgroup7	NoEx	-1
0.4	GSIgroup8	NoEx	-71
0.4	GSIgroup9	NoEx	-176
0.4	pbtGroup1	NoEx	7
0.4	pbtGroup10	NoEx	4
0.4	pbtGroup11	NoEx	58
0.4	pbtGroup12	NoEx	2
0.4	pbtGroup13	NoEx	12
0.4	pbtGroup14	NoEx	3
0.4	pbtGroup15	NoEx	27
0.4	pbtGroup16	NoEx	2
0.4	pbtGroup17	NoEx	7
0.4	pbtGroup18	NoEx	17
0.4	pbtGroup19	NoEx	20
0.4	pbtGroup2	NoEx	20
0.4	pbtGroup20	NoEx	26
0.4	pbtGroup21	NoEx	4
0.4	pbtGroup22	NoEx	55
0.4	pbtGroup23	NoEx	11
0.4	pbtGroup24	NoEx	53
0.4	pbtGroup25	NoEx	58
0.4	pbtGroup3	NoEx	0
0.4	pbtGroup4	NoEx	2
0.4	pbtGroup5	NoEx	0
0.4	pbtGroup6	NoEx	7
0.4	pbtGroup7	NoEx	4
0.4	pbtGroup8	NoEx	1
0.4	pbtGroup9	NoEx	1
0.05	GSIgroup1	TotEx	9
0.05	GSIgroup10	TotEx	16
0.05	GSIgroup2	TotEx	4
0.05	GSIgroup3	TotEx	10
0.05	GSIgroup4	TotEx	17
0.05	GSIgroup5	TotEx	13
0.05	GSIgroup6	TotEx	-24
0.05	GSIgroup7	TotEx	13
0.05	GSIgroup8	TotEx	-9
0.05	GSIgroup9	TotEx	-45
0.05	pbtGroup1	TotEx	NA
0.05	pbtGroup10	TotEx	NA
0.05	pbtGroup11	TotEx	NA
0.05	pbtGroup12	TotEx	NA
0.05	pbtGroup13	TotEx	NA
0.05	pbtGroup14	TotEx	NA
0.05	pbtGroup15	TotEx	NA
0.05	pbtGroup16	TotEx	NA
0.05	pbtGroup17	TotEx	NA
