sr	group	type	MSE
0.05	GSIgroup1	NoEx	5445
0.05	GSIgroup10	NoEx	63301
0.05	GSIgroup2	NoEx	5960
0.05	GSIgroup3	NoEx	9326
0.05	GSIgroup4	NoEx	11186
0.05	GSIgroup5	NoEx	10645
0.05	GSIgroup6	NoEx	16424
0.05	GSIgroup7	NoEx	14444
0.05	GSIgroup8	NoEx	28206
0.05	GSIgroup9	NoEx	79758
0.05	pbtGroup1	NoEx	1241
0.05	pbtGroup10	NoEx	2041
0.05	pbtGroup11	NoEx	5393
0.05	pbtGroup12	NoEx	2555
0.05	pbtGroup13	NoEx	2212
0.05	pbtGroup14	NoEx	3192
0.05	pbtGroup15	NoEx	3937
0.05	pbtGroup16	NoEx	3871
0.05	pbtGroup17	NoEx	4924
0.05	pbtGroup18	NoEx	6726
0.05	pbtGroup19	NoEx	5259
0.05	pbtGroup2	NoEx	1470
0.05	pbtGroup20	NoEx	6945
0.05	pbtGroup21	NoEx	6378
0.05	pbtGroup22	NoEx	8528
0.05	pbtGroup23	NoEx	7680
0.05	pbtGroup24	NoEx	9141
0.05	pbtGroup25	NoEx	20801
0.05	pbtGroup3	NoEx	1665
0.05	pbtGroup4	NoEx	1943
0.05	pbtGroup5	NoEx	2129
0.05	pbtGroup6	NoEx	1677
0.05	pbtGroup7	NoEx	1897
0.05	pbtGroup8	NoEx	1848
0.05	pbtGroup9	NoEx	2270
0.075	GSIgroup1	NoEx	3834
0.075	GSIgroup10	NoEx	45381
0.075	GSIgroup2	NoEx	3594
0.075	GSIgroup3	NoEx	6275
0.075	GSIgroup4	NoEx	6921
0.075	GSIgroup5	NoEx	8022
0.075	GSIgroup6	NoEx	10569
0.075	GSIgroup7	NoEx	9938
0.075	GSIgroup8	NoEx	20422
0.075	GSIgroup9	NoEx	69774
0.075	pbtGroup1	NoEx	744
0.075	pbtGroup10	NoEx	1434
0.075	pbtGroup11	NoEx	4571
0.075	pbtGroup12	NoEx	1529
0.075	pbtGroup13	NoEx	1518
0.075	pbtGroup14	NoEx	2065
0.075	pbtGroup15	NoEx	2611
0.075	pbtGroup16	NoEx	2912
0.075	pbtGroup17	NoEx	3165
0.075	pbtGroup18	NoEx	4461
0.075	pbtGroup19	NoEx	3464
0.075	pbtGroup2	NoEx	918
0.075	pbtGroup20	NoEx	4784
0.075	pbtGroup21	NoEx	4159
0.075	pbtGroup22	NoEx	7016
0.075	pbtGroup23	NoEx	5453
0.075	pbtGroup24	NoEx	6655
0.075	pbtGroup25	NoEx	14977
0.075	pbtGroup3	NoEx	1103
0.075	pbtGroup4	NoEx	1317
0.075	pbtGroup5	NoEx	1373
0.075	pbtGroup6	NoEx	1127
0.075	pbtGroup7	NoEx	1272
0.075	pbtGroup8	NoEx	1225
0.075	pbtGroup9	NoEx	1492
0.1	GSIgroup1	NoEx	2893
0.1	GSIgroup10	NoEx	38377
0.1	GSIgroup2	NoEx	2842
0.1	GSIgroup3	NoEx	4608
0.1	GSIgroup4	NoEx	4721
0.1	GSIgroup5	NoEx	5879
0.1	GSIgroup6	NoEx	8471
0.1	GSIgroup7	NoEx	7057
0.1	GSIgroup8	NoEx	15787
0.1	GSIgroup9	NoEx	57342
0.1	pbtGroup1	NoEx	609
0.1	pbtGroup10	NoEx	908
0.1	pbtGroup11	NoEx	4739
0.1	pbtGroup12	NoEx	1199
0.1	pbtGroup13	NoEx	1225
0.1	pbtGroup14	NoEx	1757
0.1	pbtGroup15	NoEx	2228
0.1	pbtGroup16	NoEx	2072
0.1	pbtGroup17	NoEx	2264
0.1	pbtGroup18	NoEx	3567
0.1	pbtGroup19	NoEx	3008
0.1	pbtGroup2	NoEx	823
0.1	pbtGroup20	NoEx	3426
0.1	pbtGroup21	NoEx	3362
0.1	pbtGroup22	NoEx	6195
0.1	pbtGroup23	NoEx	3791
0.1	pbtGroup24	NoEx	6381
0.1	pbtGroup25	NoEx	11356
0.1	pbtGroup3	NoEx	865
0.1	pbtGroup4	NoEx	919
0.1	pbtGroup5	NoEx	1005
0.1	pbtGroup6	NoEx	943
0.1	pbtGroup7	NoEx	999
0.1	pbtGroup8	NoEx	985
0.1	pbtGroup9	NoEx	1149
0.15	GSIgroup1	NoEx	1776
0.15	GSIgroup10	NoEx	30262
0.15	GSIgroup2	NoEx	1892
0.15	GSIgroup3	NoEx	2976
0.15	GSIgroup4	NoEx	3469
0.15	GSIgroup5	NoEx	3959
0.15	GSIgroup6	NoEx	5935
0.15	GSIgroup7	NoEx	4191
