group	type	ER
GSIgroup1	NoEx	-40
GSIgroup10	NoEx	-37
GSIgroup2	NoEx	-39
GSIgroup3	NoEx	-38
GSIgroup4	NoEx	-41
GSIgroup5	NoEx	-41
GSIgroup6	NoEx	-39
GSIgroup7	NoEx	-41
GSIgroup8	NoEx	-44
GSIgroup9	NoEx	-38
pbtGroup10	NoEx	4
pbtGroup11	NoEx	60
pbtGroup12	NoEx	2
pbtGroup13	NoEx	12
pbtGroup14	NoEx	2
pbtGroup15	NoEx	24
pbtGroup16	NoEx	0
pbtGroup17	NoEx	10
pbtGroup18	NoEx	15
pbtGroup19	NoEx	19
pbtGroup2	NoEx	19
pbtGroup20	NoEx	24
pbtGroup21	NoEx	6
pbtGroup22	NoEx	56
pbtGroup23	NoEx	13
pbtGroup24	NoEx	53
pbtGroup25	NoEx	55
pbtGroup3	NoEx	1
pbtGroup4	NoEx	1
pbtGroup5	NoEx	2
pbtGroup6	NoEx	8
pbtGroup7	NoEx	3
pbtGroup8	NoEx	1
pbtGroup9	NoEx	1
GSIgroup1	TotEx	-31
GSIgroup10	TotEx	75
GSIgroup2	TotEx	-30
GSIgroup3	TotEx	-23
GSIgroup4	TotEx	-23
GSIgroup5	TotEx	-21
GSIgroup6	TotEx	-16
GSIgroup7	TotEx	-17
GSIgroup8	TotEx	13
GSIgroup9	TotEx	78
pbtGroup10	TotEx	NA
pbtGroup11	TotEx	NA
pbtGroup12	TotEx	NA
pbtGroup13	TotEx	NA
pbtGroup14	TotEx	NA
pbtGroup15	TotEx	NA
pbtGroup16	TotEx	NA
pbtGroup17	TotEx	NA
pbtGroup18	TotEx	NA
pbtGroup19	TotEx	NA
pbtGroup2	TotEx	NA
pbtGroup20	TotEx	NA
pbtGroup21	TotEx	NA
pbtGroup22	TotEx	NA
pbtGroup23	TotEx	NA
pbtGroup24	TotEx	NA
pbtGroup25	TotEx	NA
pbtGroup3	TotEx	NA
pbtGroup4	TotEx	NA
pbtGroup5	TotEx	NA
pbtGroup6	TotEx	NA
pbtGroup7	TotEx	NA
pbtGroup8	TotEx	NA
pbtGroup9	TotEx	NA
GSIgroup1	Ac	-1
GSIgroup10	Ac	3
GSIgroup2	Ac	3
GSIgroup3	Ac	1
GSIgroup4	Ac	1
GSIgroup5	Ac	1
GSIgroup6	Ac	-1
GSIgroup7	Ac	-1
GSIgroup8	Ac	-3
GSIgroup9	Ac	3
pbtGroup10	Ac	-1
pbtGroup11	Ac	1
pbtGroup12	Ac	0
pbtGroup13	Ac	-1
pbtGroup14	Ac	-1
pbtGroup15	Ac	-3
pbtGroup16	Ac	-2
pbtGroup17	Ac	2
pbtGroup18	Ac	-1
pbtGroup19	Ac	-1
pbtGroup2	Ac	0
pbtGroup20	Ac	-2
pbtGroup21	Ac	2
pbtGroup22	Ac	2
pbtGroup23	Ac	1
pbtGroup24	Ac	0
pbtGroup25	Ac	-2
pbtGroup3	Ac	1
pbtGroup4	Ac	-2
pbtGroup5	Ac	1
pbtGroup6	Ac	1
pbtGroup7	Ac	-1
pbtGroup8	Ac	0
pbtGroup9	Ac	0
GSIgroup1	MLE	-4
GSIgroup10	MLE	2
GSIgroup2	MLE	-3
GSIgroup3	MLE	-2
GSIgroup4	MLE	-2
GSIgroup5	MLE	-2
GSIgroup6	MLE	-2
GSIgroup7	MLE	-3
GSIgroup8	MLE	-8
GSIgroup9	MLE	2
pbtGroup10	MLE	0
pbtGroup11	MLE	6
pbtGroup12	MLE	0
pbtGroup13	MLE	0
pbtGroup14	MLE	-1
pbtGroup15	MLE	-2
pbtGroup16	MLE	-2
pbtGroup17	MLE	3
pbtGroup18	MLE	0
pbtGroup19	MLE	0
pbtGroup2	MLE	1
pbtGroup20	MLE	-1
pbtGroup21	MLE	2
pbtGroup22	MLE	3
pbtGroup23	MLE	3
pbtGroup24	MLE	5
pbtGroup25	MLE	1
pbtGroup3	MLE	1
pbtGroup4	MLE	-2
pbtGroup5	MLE	1
pbtGroup6	MLE	1
pbtGroup7	MLE	-1
pbtGroup8	MLE	0
pbtGroup9	MLE	0
