sr	group	type	MSE
0.2	GSIgroup1	NoEx	5372
0.2	GSIgroup10	NoEx	17518
0.2	GSIgroup2	NoEx	5140
0.2	GSIgroup3	NoEx	6423
0.2	GSIgroup4	NoEx	6820
0.2	GSIgroup5	NoEx	6648
0.2	GSIgroup6	NoEx	7028
0.2	GSIgroup7	NoEx	7375
0.2	GSIgroup8	NoEx	9600
0.2	GSIgroup9	NoEx	16825
0.2	pbtGroup1	NoEx	333
0.2	pbtGroup10	NoEx	492
0.2	pbtGroup11	NoEx	4045
0.2	pbtGroup12	NoEx	616
0.2	pbtGroup13	NoEx	612
0.2	pbtGroup14	NoEx	744
0.2	pbtGroup15	NoEx	1323
0.2	pbtGroup16	NoEx	1035
0.2	pbtGroup17	NoEx	1190
0.2	pbtGroup18	NoEx	1809
0.2	pbtGroup19	NoEx	1539
0.2	pbtGroup2	NoEx	594
0.2	pbtGroup20	NoEx	1974
0.2	pbtGroup21	NoEx	1683
0.2	pbtGroup22	NoEx	4507
0.2	pbtGroup23	NoEx	1988
0.2	pbtGroup24	NoEx	4623
0.2	pbtGroup25	NoEx	6863
0.2	pbtGroup3	NoEx	403
0.2	pbtGroup4	NoEx	474
0.2	pbtGroup5	NoEx	484
0.2	pbtGroup6	NoEx	458
0.2	pbtGroup7	NoEx	506
0.2	pbtGroup8	NoEx	498
0.2	pbtGroup9	NoEx	568
0.2	GSIgroup1	TotEx	4489
0.2	GSIgroup10	TotEx	21174
0.2	GSIgroup2	TotEx	4267
0.2	GSIgroup3	TotEx	5183
0.2	GSIgroup4	TotEx	5394
0.2	GSIgroup5	TotEx	5138
0.2	GSIgroup6	TotEx	5457
0.2	GSIgroup7	TotEx	5685
0.2	GSIgroup8	TotEx	7717
0.2	GSIgroup9	TotEx	21031
0.2	pbtGroup1	TotEx	NA
0.2	pbtGroup10	TotEx	NA
0.2	pbtGroup11	TotEx	NA
0.2	pbtGroup12	TotEx	NA
0.2	pbtGroup13	TotEx	NA
0.2	pbtGroup14	TotEx	NA
0.2	pbtGroup15	TotEx	NA
0.2	pbtGroup16	TotEx	NA
0.2	pbtGroup17	TotEx	NA
0.2	pbtGroup18	TotEx	NA
0.2	pbtGroup19	TotEx	NA
0.2	pbtGroup2	TotEx	NA
0.2	pbtGroup20	TotEx	NA
0.2	pbtGroup21	TotEx	NA
0.2	pbtGroup22	TotEx	NA
0.2	pbtGroup23	TotEx	NA
0.2	pbtGroup24	TotEx	NA
0.2	pbtGroup25	TotEx	NA
0.2	pbtGroup3	TotEx	NA
0.2	pbtGroup4	TotEx	NA
0.2	pbtGroup5	TotEx	NA
0.2	pbtGroup6	TotEx	NA
0.2	pbtGroup7	TotEx	NA
0.2	pbtGroup8	TotEx	NA
0.2	pbtGroup9	TotEx	NA
0.2	GSIgroup1	Ac	1635
0.2	GSIgroup10	Ac	13845
0.2	GSIgroup2	Ac	1633
0.2	GSIgroup3	Ac	2851
0.2	GSIgroup4	Ac	2825
0.2	GSIgroup5	Ac	3078
0.2	GSIgroup6	Ac	3508
0.2	GSIgroup7	Ac	3518
0.2	GSIgroup8	Ac	5562
0.2	GSIgroup9	Ac	13348
0.2	pbtGroup1	Ac	370
0.2	pbtGroup10	Ac	519
0.2	pbtGroup11	Ac	1175
0.2	pbtGroup12	Ac	635
0.2	pbtGroup13	Ac	598
0.2	pbtGroup14	Ac	773
0.2	pbtGroup15	Ac	1017
0.2	pbtGroup16	Ac	1059
0.2	pbtGroup17	Ac	1170
0.2	pbtGroup18	Ac	1745
0.2	pbtGroup19	Ac	1379
0.2	pbtGroup2	Ac	458
0.2	pbtGroup20	Ac	1663
0.2	pbtGroup21	Ac	1691
0.2	pbtGroup22	Ac	1922
0.2	pbtGroup23	Ac	1930
0.2	pbtGroup24	Ac	2367
0.2	pbtGroup25	Ac	4354
0.2	pbtGroup3	Ac	403
0.2	pbtGroup4	Ac	504
0.2	pbtGroup5	Ac	490
0.2	pbtGroup6	Ac	469
0.2	pbtGroup7	Ac	537
0.2	pbtGroup8	Ac	507
0.2	pbtGroup9	Ac	579
0.2	GSIgroup1	MLE	1634
0.2	GSIgroup10	MLE	13853
0.2	GSIgroup2	MLE	1575
0.2	GSIgroup3	MLE	2859
0.2	GSIgroup4	MLE	2821
0.2	GSIgroup5	MLE	3057
0.2	GSIgroup6	MLE	3499
0.2	GSIgroup7	MLE	3529
0.2	GSIgroup8	MLE	5608
0.2	GSIgroup9	MLE	13342
0.2	pbtGroup1	MLE	365
0.2	pbtGroup10	MLE	518
0.2	pbtGroup11	MLE	1141
0.2	pbtGroup12	MLE	635
0.2	pbtGroup13	MLE	590
0.2	pbtGroup14	MLE	772
0.2	pbtGroup15	MLE	999
0.2	pbtGroup16	MLE	1058
0.2	pbtGroup17	MLE	1166
0.2	pbtGroup18	MLE	1731
0.2	pbtGroup19	MLE	1362
0.2	pbtGroup2	MLE	439
0.2	pbtGroup20	MLE	1649
0.2	pbtGroup21	MLE	1688
0.2	pbtGroup22	MLE	1916
0.2	pbtGroup23	MLE	1924
0.2	pbtGroup24	MLE	2309
0.2	pbtGroup25	MLE	4308
0.2	pbtGroup3	MLE	403
0.2	pbtGroup4	MLE	504
0.2	pbtGroup5	MLE	490
0.2	pbtGroup6	MLE	463
0.2	pbtGroup7	MLE	535
0.2	pbtGroup8	MLE	506
0.2	pbtGroup9	MLE	579
