sr	group	MLE	Ac	NoEx
0.1	GSIgroup3	0	1	-2
0.1	GSIgroup6	3	3	-39
0.1	GSIgroup9	-2	-2	-176
0.1	pbtGroup11	5	5	62
0.1	pbtGroup24	-2	-3	51
0.1	pbtGroup8	0	0	1
0.2	GSIgroup3	1	1	-2
0.2	GSIgroup6	-2	-2	-43
0.2	GSIgroup9	5	5	-171
0.2	pbtGroup11	1	1	60
0.2	pbtGroup24	2	1	54
0.2	pbtGroup8	1	1	2
0.3	GSIgroup3	2	2	-1
0.3	GSIgroup6	4	4	-38
0.3	GSIgroup9	2	2	-173
0.3	pbtGroup11	1	1	60
0.3	pbtGroup24	3	2	55
0.3	pbtGroup8	-1	-1	0
0.4	GSIgroup3	-2	-2	-5
0.4	GSIgroup6	-1	-1	-43
0.4	GSIgroup9	1	1	-176
0.4	pbtGroup11	-2	-2	58
0.4	pbtGroup24	1	0	53
0.4	pbtGroup8	0	0	1
