sr	group	MLE	Ac	NoEx
0.1	GSIgroup3	4608	4609	4608
0.1	GSIgroup9	27186	27191	57342
0.1	pbtGroup11	2453	2453	4739
0.1	pbtGroup25	8680	8680	11356
0.1	pbtGroup8	1002	1004	985
0.2	GSIgroup3	2454	2452	2451
0.2	GSIgroup9	13740	13741	42468
0.2	pbtGroup11	1157	1156	4021
0.2	pbtGroup25	4240	4239	7050
0.2	pbtGroup8	452	453	447
0.3	GSIgroup3	1688	1687	1684
0.3	GSIgroup9	8781	8785	38289
0.3	pbtGroup11	879	879	3934
0.3	pbtGroup25	3124	3137	5424
0.3	pbtGroup8	342	343	336
0.4	GSIgroup3	1194	1193	1208
0.4	GSIgroup9	7429	7438	37990
0.4	pbtGroup11	597	596	3610
0.4	pbtGroup25	2277	2278	5325
0.4	pbtGroup8	254	254	250
